SxSx = (24,24) 
(0,0) (-2.24179031172e-08,0) (1.26222793259e-08,0) (1.59197724841e-10,0) (-1.39775422139e-10,0) (1.28857278233e-08,0) (-0.124068360005,0) (2.61115090828e-07,0) (-2.81128183039e-07,0) (-8.66642208344e-09,0) (2.93103248519e-10,0) (-4.88481772311e-09,0) (9.35418614968e-08,0) (-1.23996640755e-07,0) (3.97775805079e-08,0) (-2.43594576179e-08,0) (1.32600635587e-09,0) (-4.18000440525e-10,0) (3.08079286008e-12,0) (1.47692825267e-12,0) (-2.52646908164e-11,0) (2.09724818224e-11,0) (-3.88443305146e-13,0) (4.11056346207e-13,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-5.2194669791e-07,0) (4.79162757287e-07,0) (1.70581287081e-08,0) (8.19973763102e-09,0) (-0.000581288012068,0) (0.000352197774073,0) (-4.19351711028e-11,0) (5.3942335347e-11,0) (-4.13198446676e-12,0) (5.80358201632e-12,0) (1.31097221739e-09,0) (-1.51618564365e-09,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-0.123316807719,0) (-8.83848909759e-07,0) (7.66172369939e-07,0) (5.56356569028e-06,0) (-9.14611806666e-06,0) (1.16339283745e-05,0) (-9.31146038263e-06,0) (-3.40052966568e-07,0) (2.82487465728e-07,0) (5.62777662219e-08,0) (5.27487320559e-08,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (1.30391244633e-06,0) (-6.07875516288e-07,0) (-5.67698219446e-06,0) (5.56304633539e-06,0) (-1.74084437408e-05,0) (9.46582460233e-06,0) (2.53019750196e-07,0) (-2.5504375163e-07,0) (-2.95194715771e-09,0) (-4.21790934279e-08,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-0.12064932909,0) (-2.75205372039e-06,0) (2.84560132414e-06,0) (-9.84653487052e-08,0) (1.50206674631e-07,0) (5.32433558126e-06,0) (-6.79693506217e-06,0) (9.3476819171e-09,0) (-6.28299106541e-09,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (4.55904743308e-06,0) (-2.82631801349e-06,0) (7.83758307444e-08,0) (-1.39802552404e-07,0) (-7.72749707397e-06,0) (2.12827542689e-06,0) (-1.33778613281e-08,0) (1.22543851366e-09,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-0.136685551343,0) (3.13025561166e-08,0) (-3.55816486117e-08,0) (7.37837527383e-10,0) (-2.12067301732e-09,0) (1.57291883651e-07,0) (-1.48383824715e-07,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-3.67157918786e-08,0) (3.04709907648e-08,0) (-6.47344407112e-10,0) (1.06655463363e-09,0) (-3.00616661747e-07,0) (1.46981441809e-07,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-0.121346333948,0) (-6.79676255928e-07,0) (8.26475303342e-07,0) (-1.97746006526e-05,0) (3.25843592975e-05,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (1.29838811385e-06,0) (-7.28075932071e-07,0) (2.04814450116e-05,0) (-2.01790940047e-05,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-0.123954388603,0) (5.04021682477e-06,0) (-5.19333699754e-06,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-8.29845637338e-06,0) (5.08385070205e-06,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (-0.135610433894,0)  
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0)  
