1 (-0.288502,2.77556e-17)  (-0.288502,1.50988e-32)  (-0.288502,-4.14921e-18)  
2 (-0.288502,1.39472e-17)  (-0.288502,2.00577e-18)  (-0.288502,3.02104e-18)  
3 (-0.288502,1.23395e-17)  (-0.288502,-6.69454e-18)  (-0.288502,3.34431e-18)  
4 (-0.288502,-3.03e-17)  (-0.288502,-2.49912e-17)  (-0.288502,1.02112e-18)  
5 (-0.288502,2.23226e-17)  (-0.288502,7.4356e-17)  (-0.288502,-1.77989e-18)  
6 (-0.288502,1.37226e-16)  (-0.288502,-6.13831e-17)  (-0.288502,2.1463e-18)  
7 (-0.288502,1.71869e-16)  (-0.288502,2.96777e-17)  (-0.288502,-5.16264e-18)  
8 (-0.288502,-2.10205e-21)  (-0.288502,-2.07168e-18)  (-0.288502,-8.51112e-18)  
9 (-0.288502,9.65577e-18)  (-0.288502,-1.20441e-17)  (-0.288502,-2.63432e-18)  
10 (-0.288502,-3.7809e-17)  (-0.288502,-1.52073e-17)  (-0.288502,-1.34077e-17)  
11 (-0.288502,-1.04809e-17)  (-0.288502,-7.59692e-18)  (-0.288502,-7.93181e-18)  
12 (-0.288502,-1.9224e-17)  (-0.288502,-4.13014e-18)  (-0.288502,3.6436e-18)  
13 (-0.288502,2.4756e-16)  (-0.288502,-1.63139e-16)  (-0.288502,-1.08188e-17)  
14 (-0.288502,1.4354e-16)  (-0.288502,3.70709e-17)  (-0.288502,2.6109e-18)  
15 (-0.288502,-7.32729e-18)  (-0.288502,-3.66676e-17)  (-0.288502,7.01317e-18)  
16 (-0.288502,-2.18008e-17)  (-0.288502,1.27301e-17)  (-0.288502,-7.4772e-18)  
17 (-0.288502,-1.10418e-17)  (-0.288502,1.11994e-17)  (-0.288502,-3.41878e-18)  
18 (-0.288502,2.77556e-17)  (-0.288502,0)  (-0.288502,-3.30271e-18)  
